,benchmark,dataset,algorithm,n_clusters,FM,AM,AR
0,fcps,lsun,linkage_weighted,2.0,0.6642162405263617,0.3845854118978767,0.26960729551112655
0,fcps,lsun,linkage_centroid,2.0,0.6436058356925375,0.3208434663154268,0.20963838933021464
0,fcps,lsun,linkage_median,2.0,0.6642162405263617,0.3845854118978767,0.26960729551112655
0,fcps,lsun,linkage_ward,2.0,0.6642162405263617,0.3845854118978767,0.26960729551112655
0,fcps,lsun,genie,2.0,0.7735590309066198,0.7010761923370552,0.5283687943262412
0,fcps,lsun,kmeans,2.0,0.8181307280119151,0.6481154029375054,0.6660385013251185
0,fcps,lsun,dbscan,2.0,1.0,1.0,1.0
0,fcps,lsun,meanshift,2.0,0.6936341859139924,0.40993457999245403,0.3694580373876511
0,fcps,lsun,linkage_single,3.0,1.0,1.0,1.0
0,fcps,lsun,linkage_average,3.0,0.6043770515988833,0.4962289072961926,0.36108853075196323
0,fcps,lsun,linkage_weighted,3.0,0.5742042270541484,0.48197636440075264,0.30650636528746644
0,fcps,lsun,linkage_centroid,3.0,0.6043770515988833,0.4962289072961926,0.36108853075196323
0,fcps,lsun,linkage_median,3.0,0.5752084566177459,0.4846186491942904,0.31106715178918365
0,fcps,lsun,linkage_ward,3.0,0.6051858249339195,0.5125748668184728,0.3688216835344848
0,fcps,lsun,genie,3.0,0.7735590309066198,0.7010761923370552,0.5283687943262412
0,fcps,lsun,kmeans,3.0,0.6423892311282245,0.5378309512789191,0.4358084271876845
0,fcps,lsun,dbscan,3.0,1.0,1.0,1.0
0,fcps,lsun,meanshift,3.0,0.6936341859139924,0.40993457999245403,0.3694580373876511
0,fcps,lsun,linkage_single,4.0,0.9983375442950111,0.9932630354595714,0.9973471459135563
0,fcps,lsun,linkage_average,4.0,0.684138748254304,0.6797401015132988,0.5197912689321623
0,fcps,lsun,linkage_weighted,4.0,0.7116784065109851,0.7129695079086401,0.5676730392942582
0,fcps,lsun,linkage_centroid,4.0,0.684138748254304,0.6797401015132988,0.5197912689321623
0,fcps,lsun,linkage_median,4.0,0.7068068181510105,0.7102007927130982,0.5606655368901945
0,fcps,lsun,linkage_ward,4.0,0.702068562558818,0.7030713900249059,0.551394859400133
0,fcps,lsun,genie,4.0,0.7735590309066198,0.7010761923370552,0.5283687943262412
0,fcps,lsun,kmeans,4.0,0.7254440500031895,0.7204692059389954,0.5868596025789136
0,fcps,lsun,dbscan,4.0,1.0,1.0,1.0
0,fcps,lsun,meanshift,4.0,0.6936341859139924,0.40993457999245403,0.3694580373876511
0,fcps,lsun,linkage_single,5.0,0.9966891500086507,0.9865947529265603,0.9947175768877407
